pmid,gene_id,gene_text,title,journal
21844680,4942,ornithine delta-aminotransferase,"Expression, detection of candidate function and homology modeling for Vicia villosa ornithine delta-aminotransferase.",GM Crops. 2010 Jul-Sep
24448322,113451,arginine decarboxylase,Transcriptional regulation of 9-cis-epoxycarotenoid dioxygenase (NCED) gene by putrescine accumulation positively modulates ABA synthesis and drought tolerance in Lotus tenuis plants.,Plant Physiol Biochem. 2014 Mar
31382811,113451,ADC,Salicylic acid regulates polyamine biosynthesis during drought responses in oat.,Plant Signal Behav. 2019
31382811,262,AdoMetDC,Salicylic acid regulates polyamine biosynthesis during drought responses in oat.,Plant Signal Behav. 2019
33950277,28721236,peroxidase,Expression of Arabidopsis Ornithine Aminotransferase (AtOAT) encoded gene enhances multiple abiotic stress tolerances in wheat.,Plant Cell Rep. 2021 Jul
39539740,4942,oat,Genome-wide identification and analysis of the HD-Zip transcription factor family in oats.,Front Mol Biosci
39967685,6690,TCP,Genome-wide identification of oat TCP gene family and expression patterns under abiotic stress.,Front Genet
39967685,54205,CYC,Genome-wide identification of oat TCP gene family and expression patterns under abiotic stress.,Front Genet
