"","term_id","term_name","intersection","p_value","gene_id"
"1","GO:0043565","sequence-specific DNA binding","SORBI_3001G287600,SORBI_3003G058200,SORBI_3003G379700,SORBI_3010G045700",0.040253125814677,"SORBI_3001G287600"
"2","GO:0043565","sequence-specific DNA binding","SORBI_3001G287600,SORBI_3003G058200,SORBI_3003G379700,SORBI_3010G045700",0.040253125814677,"SORBI_3003G058200"
"3","GO:0043565","sequence-specific DNA binding","SORBI_3001G287600,SORBI_3003G058200,SORBI_3003G379700,SORBI_3010G045700",0.040253125814677,"SORBI_3003G379700"
"4","GO:0043565","sequence-specific DNA binding","SORBI_3001G287600,SORBI_3003G058200,SORBI_3003G379700,SORBI_3010G045700",0.040253125814677,"SORBI_3010G045700"
