pmid,gene_id,gene_text,title,journal
19624469,818626,PYL6,Modulation of drought resistance by the abscisic acid receptor PYL5 through inhibition of clade A PP2Cs.,Plant J. 2009 Nov
19624469,835397,PYL8,Modulation of drought resistance by the abscisic acid receptor PYL5 through inhibition of clade A PP2Cs.,Plant J. 2009 Nov
19624469,828714,ABI1,Modulation of drought resistance by the abscisic acid receptor PYL5 through inhibition of clade A PP2Cs.,Plant J. 2009 Nov
19624469,835809,ABI2,Modulation of drought resistance by the abscisic acid receptor PYL5 through inhibition of clade A PP2Cs.,Plant J. 2009 Nov
19625633,836367,MYB96,The MYB96 transcription factor mediates abscisic acid signaling during drought stress response in Arabidopsis.,Plant Physiol. 2009 Sep
19826230,836367,MYB96,Auxin homeostasis during lateral root development under drought condition.,Plant Signal Behav. 2009 Oct
19837818,828714,ABI1,"Expression of the Arabidopsis mutant ABI1 gene alters abscisic acid sensitivity, stomatal development, and growth morphology in gray poplars.",Plant Physiol. 2009 Dec
19880399,843221,bZIP,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
19880399,841095,AREB1,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
19880399,824214,SRK2D,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
19880399,829541,SRK2E,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
19880399,836822,SRK2I,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
19880399,835809,protein phosphatase 2C,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
19880399,836040,HAI1,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
19880399,828714,ABI1,Three SnRK2 protein kinases are the main positive regulators of abscisic acid signaling in response to water stress in Arabidopsis.,Plant Cell Physiol. 2009 Dec
20031913,844143,RAP2.4,Role of Arabidopsis RAP2.4 in regulating light- and ethylene-mediated developmental processes and drought stress tolerance.,Mol Plant. 2008 Jan
20031913,829845,AP2,Role of Arabidopsis RAP2.4 in regulating light- and ethylene-mediated developmental processes and drought stress tolerance.,Mol Plant. 2008 Jan
20077023,826671,CBL5,Constitutive overexpression of the calcium sensor CBL5 confers osmotic or drought stress tolerance in Arabidopsis.,Mol Cells. 2010 Feb 28
20077023,835307,RD29A,Constitutive overexpression of the calcium sensor CBL5 confers osmotic or drought stress tolerance in Arabidopsis.,Mol Cells. 2010 Feb 28
20077023,835306,RD29B,Constitutive overexpression of the calcium sensor CBL5 confers osmotic or drought stress tolerance in Arabidopsis.,Mol Cells. 2010 Feb 28
20077023,831453,Kin1,Constitutive overexpression of the calcium sensor CBL5 confers osmotic or drought stress tolerance in Arabidopsis.,Mol Cells. 2010 Feb 28
20088904,842281,AtABCG36,Overexpression of AtABCG36 improves drought and salt stress resistance in Arabidopsis.,Physiol Plant. 2010 Jun 1
20088904,818031,ATP-binding cassette (ABC) transporter,Overexpression of AtABCG36 improves drought and salt stress resistance in Arabidopsis.,Physiol Plant. 2010 Jun 1
20105335,829547,ABF3,Transcriptome analysis reveals absence of unintended effects in drought-tolerant transgenic plants overexpressing the transcription factor ABF3.,BMC Genomics. 2010 Jan 28
20133880,818031,ABC transporter,PDR-type ABC transporter mediates cellular uptake of the phytohormone abscisic acid.,Proc Natl Acad Sci U S A. 2010 Feb 2
20133880,838122,PDR12,PDR-type ABC transporter mediates cellular uptake of the phytohormone abscisic acid.,Proc Natl Acad Sci U S A. 2010 Feb 2
20133881,818031,ABC transporter,ABC transporter AtABCG25 is involved in abscisic acid transport and responses.,Proc Natl Acad Sci U S A. 2010 Feb 2
20133881,843527,AtABCG25,ABC transporter AtABCG25 is involved in abscisic acid transport and responses.,Proc Natl Acad Sci U S A. 2010 Feb 2
20206537,829623,Arginine decarboxylase 2,Putrescine accumulation confers drought tolerance in transgenic Arabidopsis plants over-expressing the homologous Arginine decarboxylase 2 gene.,Plant Physiol Biochem. 2010 Jul
20215861,840476,annexin 1,Is annexin 1 a multifunctional protein during stress responses?,Plant Signal Behav. 2010 Mar
20215861,28721236,peroxidase,Is annexin 1 a multifunctional protein during stress responses?,Plant Signal Behav. 2010 Mar
20217124,816235,AtCPK6,"AtCPK6, a functionally redundant and positive regulator involved in salt/drought stress tolerance in Arabidopsis.",Planta. 2010 May
20354906,842718,WRKY transcription factor,Ectopic expression of a grapevine transcription factor VvWRKY11 contributes to osmotic stress tolerance in Arabidopsis.,Mol Biol Rep. 2011 Jan
20354906,829282,AtWRKY11,Ectopic expression of a grapevine transcription factor VvWRKY11 contributes to osmotic stress tolerance in Arabidopsis.,Mol Biol Rep. 2011 Jan
20358223,100271890,bZIP transcription factor,"A tomato bZIP transcription factor, SlAREB, is involved in water deficit and salt stress response.",Planta. 2010 May
20358223,544204,ABA-responsive element binding protein,"A tomato bZIP transcription factor, SlAREB, is involved in water deficit and salt stress response.",Planta. 2010 May
20358223,544017,leucine aminopeptidase,"A tomato bZIP transcription factor, SlAREB, is involved in water deficit and salt stress response.",Planta. 2010 May
20361337,110651232,small rubber particle protein,"Constitutive expression of CaSRP1, a hot pepper small rubber particle protein homolog, resulted in fast growth and improved drought tolerance in transgenic Arabidopsis plants.",Planta. 2010 Jun
20395451,818627,DREB2C,"DREB2C interacts with ABF2, a bZIP protein regulating abscisic acid-responsive gene expression, and its overexpression affects abscisic acid sensitivity.",Plant Physiol. 2010 Jun
20395451,841095,ABF2,"DREB2C interacts with ABF2, a bZIP protein regulating abscisic acid-responsive gene expression, and its overexpression affects abscisic acid sensitivity.",Plant Physiol. 2010 Jun
20395451,843221,bZIP,"DREB2C interacts with ABF2, a bZIP protein regulating abscisic acid-responsive gene expression, and its overexpression affects abscisic acid sensitivity.",Plant Physiol. 2010 Jun
20395451,828652,DREB1A,"DREB2C interacts with ABF2, a bZIP protein regulating abscisic acid-responsive gene expression, and its overexpression affects abscisic acid sensitivity.",Plant Physiol. 2010 Jun
20395451,830424,DREB2A,"DREB2C interacts with ABF2, a bZIP protein regulating abscisic acid-responsive gene expression, and its overexpression affects abscisic acid sensitivity.",Plant Physiol. 2010 Jun
20395451,829547,ABF3,"DREB2C interacts with ABF2, a bZIP protein regulating abscisic acid-responsive gene expression, and its overexpression affects abscisic acid sensitivity.",Plant Physiol. 2010 Jun
20395451,821463,ABF4,"DREB2C interacts with ABF2, a bZIP protein regulating abscisic acid-responsive gene expression, and its overexpression affects abscisic acid sensitivity.",Plant Physiol. 2010 Jun
20423938,829347,AtVAMP711,Reduced expression of the v-SNAREs AtVAMP71/AtVAMP7C gene family in Arabidopsis reduces drought tolerance by suppression of abscisic acid-dependent stomatal closure.,J Exp Bot. 2010 Jun
20467978,547642,Gmdreb1,Cloning and quantitative expression analysis of drought-induced genes in soybean.,Genet Mol Res. 2010 May 11
20467978,548050,Gmgols,Cloning and quantitative expression analysis of drought-induced genes in soybean.,Genet Mol Res. 2010 May 11
