Gene symbol,Gene name,Synonyms,Chromosome,NCBI Identifier,RAP Identifier,Oryzabase Trait Gene ID,MSU_Locus tag,NCBI_Locus tag,Reference,Reference_title,Description,PMID
OsSLR1,Slender Rice 1,"OsRGA1, OsGRAS-18",3,-,Os03g0707600,-,LOC_Os03g49990,-,"Huang, Jishuai et al. 2025",Gibberellin signalling mediates nucleocytoplasmic trafficking of Sucrose Synthase 1 to regulate the drought tolerance in rice.,"SLR1 negatively regulates the abundance of the dehydration-responsive protein OsBURP3 to enhance drought tolerance in rice. OsBURP3 facilitates the translocation of Sucrose Synthase 1 (OsSUS1), from the cytosol to the nucleus, thereby decreasing the sucrose content. Mutation of OsBURP3 reduces the nucleus accumulation of OsSUS1 to enhance drought tolerance. ",40011385
OsSUS1,Sucrose synthase 1,-,3,-,Os03g0401300,-,LOC_Os03g28330,-,"Huang, Jishuai et al. 2025",Gibberellin signalling mediates nucleocytoplasmic trafficking of Sucrose Synthase 1 to regulate the drought tolerance in rice.,OsSUS1 positively regulates drought tolerance via mediating sucrose metabolism. ,40011385
OsPRX130,class III peroxidase 130,-,11,-,Os11g0112400,-,LOC_Os11g02130,-,"Tan, Mingfang et al. 2025",WOX11-OsPRX130 module confers rice drought tolerance by maintaining ROS homeostasis in rice root.,"WOX11 directly binds to the promoter of the peroxidase gene OsPRX130, thereby enhancing drought tolerance by regulating CR growth. Notably, OsPRX130 is predominantly expressed in rice roots and its expression is induced by drought stress. Knockout of OsPRX130 inhibited CR growth by reducing ROS levels, ultimately compromising the drought tolerance in rice. ",40536725
OsWOX11,WUSCHEL-LIKE HOMEOBOX 11,,7,-,Os07g0684900,-,LOC_Os07g48560,-,"Tan, Mingfang et al. 2025",WOX11-OsPRX130 module confers rice drought tolerance by maintaining ROS homeostasis in rice root.,"WOX11 directly binds to the promoter of the peroxidase gene OsPRX130, thereby enhancing drought tolerance by regulating CR growth. Notably, OsPRX130 is predominantly expressed in rice roots and its expression is induced by drought stress. Knockout of OsPRX130 inhibited CR growth by reducing ROS levels, ultimately compromising the drought tolerance in rice. ",40536725
OsNF-YB12,Nuclear factor-Y subunit B 12,OsHAP3L SUBUNIT OF CCAAT-BOX BINDING COMPLEX,9,-,Os09g0568200,-,LOC_Os09g39490,-,"Bian, Zhijuan et al. 2025",Overexpressing OsNF-YB12 elevated the content of jasmonic acid and impaired drought tolerance in rice.,"Rice overexpressing OsNF-YB12 was more sensitive to salinity and PEG osmotic stresses at seed germination stage, as well as reduced drought tolerance at seedling stage. Overexpressing OsNF-YB12 promoted JA biosynthesis and inhibit seed germination. Overexpression of OsNF-YB12 weakened drought tolerance in rice.",39864559
OsNF-YA7,Nuclear factor-Y subunit A 7,OsHAP2A SUBUNIT OF CCAAT-BOX BINDING COMPLEX,8,-,Os08g0196700,-,LOC_Os08g09690,-,"Lee, Dong-Keun et al. 2015",The NF-YA transcription factor OsNF-YA7 confers drought stress tolerance of rice in an abscisic acid independent manner,"Expression of OsNF-YA7 was induced by drought stress but not by ABA. Overexpression of OsNF-YA7 in transgenic rice plants improved drought tolerance. Consequently, OsNF-YA7 mediates rice drought tolerance in an ABA-independent manner.",26706071
OsPP2C68,Clade A type 2 C protein phosphatase 68,"OsPP2C1, OsSIPP2C1, OsPP108",9,-,Os09g0325700,-,LOC_Os09g15670,-,"Wang, Beilei et al. 2025",The abscisic acid signaling negative regulator OsPP2C68 confers drought and salinity tolerance to rice.,"OsPP2C68 knockout mutants reduced seed germination and root and stem lengths under ABA treatment. OsPP2C68 knockout mutants exhibited altered synthesis of osmolytes and antioxidant enzymes under drought and high salinity stress, along with the differential expression of genes associated with drought and salt stress responses, enhancing rice tolerance to drought and salt.",40000770
OsSIDP366,Stress induced DUF1644 protein 366,-,6,-,Os06g0693700,-,LOC_Os06g47860,-,"Guo, Chiming et al. 2016","OsSIDP366, a DUF1644 gene, positively regulates responses to drought and salt stresses in rice.","Transgenic rice plants overexpressing OsSIDP366 showed enhanced drought and salinity tolerance and reduced water loss as compared to that in the control, whereas plants with downregulated OsSIDP366 expression levels using RNA interference (RNAi) were more sensitive to salinity and drought treatments.",26172270
OsOTS1,Overly Tolerant to Salt 1,-,6,-,Os06g0487900,-,LOC_Os06g29310,-,"Srivastava, Anjil Kumar et al. 2017","Rice SUMO protease Overly Tolerant to Salt 1 targets the transcription factor, OsbZIP23 to promote drought tolerance in rice.",OsOTS1 depleted transgenic plants accumulate more ABA and exhibit more productive agronomic traits during drought while OsOTS1 overexpressing lines are drought sensitive but ABA insensitive. OsOTS1 SUMO protease directly targets the ABA and drought responsive transcription factor OsbZIP23 for de-SUMOylation affecting its stability. ,29024118
OsHsfB2b,Heat stress transcription factor B2b,-,8,-,Os08g0546800,-,LOC_Os08g43334,-,"Xiang, Jianhua et al. 2013",Heat shock factor OsHsfB2b negatively regulates drought and salt tolerance in rice.,"Expression of OsHsfB2b was strongly induced by heat, salt, ABA and PEG treatments. Drought and salt tolerances were significantly decreased by OsHsfB2b overexpression, but were enhanced by RNA interference.",23949687
OsHsp17.0 ,16.9 kDa class I heat shock protein 2,OsHsp16.9B,1,-,Os01g0136200,-,LOC_Os01g04380,-,"Zou, Jie et al. 2012",Overexpression of OsHsp17.0 and OsHsp23.7 enhances drought and salt tolerance in rice.,Transgenic rice overexpressing OsHsp17.0 and OsHsp23.7 significantly improve the tolerance to drought and salinity. ,22321692
OsHsp23.7 ,23.7 kDa heat shock protein,,12,-,Os12g0569700,-,LOC_Os12g38180,-,"Zou, Jie et al. 2012",Overexpression of OsHsp17.0 and OsHsp23.7 enhances drought and salt tolerance in rice.,Transgenic rice overexpressing OsHsp17.0 and OsHsp23.7 significantly improve the tolerance to drought and salinity. ,22321692
