Gene symbol,Gene name,Synonyms,Chromosome,Ensembl Identifier,NCBI Identifier/Gene ID,Reference,Reference_title,Description,PMID
TdAnn6 ,Annexin 6,-,3A,TRITD3Av1G265820,-,"Harbaoui, Marwa et al. 2021","The durum wheat annexin, TdAnn6, improves salt and osmotic stress tolerance in Arabidopsis via modulation of antioxidant machinery.",Overexpression of TdAnn6 improved salt/osmotic stress tolerance in Arabidopsis. TdAnn6 overexpression positively regulates antioxidant activities in theTdAnn6 lines,33594480
TtNAC2A ,NAC transcription factor,-,2A,TRITD2Av1G199420,-,"Mergby, D., Hanin, M., & Saidi, M. N. (2021)",The durum wheat NAC transcription factor TtNAC2A enhances drought stress tolerance in Arabidopsis.,"TtNAC2A was highly expressed in developed seed and was induced under salt, drought and ABA treatment. TtNAC2A overexpression enhanced drought tolerance in transgenic Arabidopsis. TtNAC2A enhanced the expression of drought-responsive genes in transgenic Arabidopsis.",-
TtNTL3A,NAC domain-containing protein,NAC with a transmembrane (TM) motif1-like,3A,TRITD3Av1G083050,-,"Saidi, Mohamed Najib et al. 2022",Overexpression of durum wheat NAC transcription factor TtNTL3A promotes early flowering and increases multiple stress tolerance in transgenic Arabidopsis.,Transgenic Arabidopsis overexpressing TtNTL3A showed early flowering phenotype and higher tolerance to salt and drought stresses.,36201982
