Gene symbol,Gene name,Synonyms,Chromosome,TAIR Identifier,TAIR Accession,NCBI Identifier,UniProt,Reference,Reference_title,Description,PMID
AtWRKY54,WRKY DNA-binding protein 54,-,2,AT2G40750,2064806,818670,A0A178VT46,"Chen, Jiani et al. 2017","Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.","WRKY46, WRKY54, and WRKY70 Play Negative Roles in the Drought Response and Repress Dehydration-Inducible Gene Expression. WRKY54 and BES1 Cooperate to Negatively Regulate Dehydration-Induced Genes. ",28576847
AtWRKY46,WRKY DNA-binding protein 46,,2,AT2G46400,-,-,-,"Chen, Jiani et al. 2017","Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.","WRKY transcription factor 46 play positive role in brassinosteroid-regulated growth and a negative role in drought response by cooperating with BES1. WRKY46, WRKY54, and WRKY70 Play Negative Roles in the Drought Response and Repress Dehydration-Inducible Gene Expression. ",28576847
AtWRKY70,WRKY DNA-binding protein 70,,3,AT3G56400,2102539,824807,Q9LY00,"Chen, Jiani et al. 2017","Arabidopsis WRKY46, WRKY54, and WRKY70 Transcription Factors Are Involved in Brassinosteroid-Regulated Plant Growth and Drought Responses.","WRKY transcription factor 70 play positive role in brassinosteroid-regulated growth and a negative role in drought response by cooperating with BES1. WRKY46, WRKY54, and WRKY70 Play Negative Roles in the Drought Response and Repress Dehydration-Inducible Gene Expression. ",28576847
AtDRIP2,DREB2A-interacting protein 2,-,2,AT2G30580,2064392,817608,A0A178VRI3,"Qin, Feng et al. 2008",Arabidopsis DREB2A-interacting proteins function as RING E3 ligases and negatively regulate plant drought stress-responsive gene expression.,AtDRIP2 functions as negative regulator of drought stress response.,18552202
AtJUB1,JUNGBRUNNEN1,NAC042,2,AT2G43000,2045570,818902,A0A178VL40,"Ebrahimian-Motlagh, Saghar et al. 2017",JUNGBRUNNEN1 Confers Drought Tolerance Downstream of the HD-Zip I Transcription Factor AtHB13.,"JUB1 is a drought-induced gene whose overexpression enhances drought tolerance in Arabidopsis. AtHB13 Binds to the JUB1 Promoter and Activates Its Expression during Drought Stress. JUB1 directly regulates the expression of stress-responsive TFs such as DREB2A and it reduces the cellular levels of reactive oxygen species (ROS), which contributes to the enhanced stress tolerance",29326734
AtHB13,Homeobox-leucine zipper TF 13,-,1,AT1G69780,2205075,843314,A0A654EP87,"Cabello, J. V., & Chan, R. L. 2012",The homologous homeodomain-leucine zipper transcription factors HaHB1 and AtHB13 confer tolerance to drought and salinity stresses via the induction of proteins that stabilize membranes. ,Ectopic expression of AtHB13 confers tolerance to drought and is associated with increased yield.,22564282
AtbZIP60,bZIP factor 60,-,1,AT1G42990,-,840897,-,"Tang, Wei, and Michael Page (2013)","Overexpression of the AtbZIP60 gene in transgenic cell lines improved salt, drought, and cold stress tolerances by regulating expression of Ca2+-dependent protein kinase genes.","AtbZIP60 gene enhanced salt, drought, and cold tolerance in rice and white pine transgenic cell lines. In rice, transcription factor AtbZIP60 increased expression of Ca2+-dependent protein kinase genes OsCPK6, OsCPK9, OsCPK10, OsCPK19, OsCPK25, and OsCPK26 under treatment of salt, drought, and cold.",23275191
COST1,constitutively stressed 1,myosin-4 protein (DUF641),2,AT2G45260,-,819134,-,"Bao, Yan et al. 2020",COST1 regulates autophagy to control plant drought tolerance.,"Overexpression of COST1 leads to drought hypersensitivity and decreased autophagy in response to stress. COST1 negatively regulates autophagy, and aggregation/degradation of COST1 during drought therefore activates autophagy, allowing plants to tolerate drought conditions.",32170020
AtMC3,metacaspase 3,-,5,AT5G64240,-,836545,-,"Pitsili, Eugenia et al. 2023",A phloem-localized Arabidopsis metacaspase (AtMC3) improves drought tolerance.,"Overexpression of AtMC3 conferred drought tolerance by enhancing the differentiation of specific vascular tissues and maintaining higher levels of vascular-mediated transportation, while plants lacking the protein showed an impaired response to drought and inability to respond effectively to the hormone abscisic acid. ",37320971
ACBP2,acyl-CoA-binding protein 2,-,4,AT4G27780,-,828891,-,"DU, Zhi-Yan et al. 2013",Overexpression of Arabidopsis acyl-CoA-binding protein ACBP2 enhances drought tolerance.,"ACBP2 was induced by ABA and drought, and transgenic Arabidopsis overexpressing ACBP2 (ACBP2-OXs) showed increased sensitivity to ABA treatment during germination and seedling development. ACBP2-OXs also displayed improved drought tolerance and ABA-mediated reactive oxygen species (ROS) production in guard cells, thereby promoting stomatal closure, reducing water loss and enhancing drought tolerance.",22788984
AtMYB52 ,myb domain protein 52,-,1,AT1G17950,-,838374,-,"Park, Min Young et al. 2011",Overexpression of AtMYB52 confers ABA hypersensitivity and drought tolerance.,AtMYB52 overexpression lines were drought-tolerant and their seedlings were salt-sensitive. ,21399993
AtMMS21,METHYL METHANE SULFONATE SENSITIVITY 21,"HPY2, high ploidy 2, NSE2",3,AT3G15150,-,820746,-,"Zhang, Shengchun et al. 2013",SUMO E3 ligase AtMMS21 regulates drought tolerance in Arabidopsis thaliana(F).,"AtMMS21 gene negatively regulates drought tolerance and constitutive expression of MMS21 reduces drought tolerance. Under drought conditions, mms21 mutants showed the highest survival rate and the slowest water loss, and accumulated a higher level of free proline compared to wild-type (WT) and MMS21 over-expression plants. ",23231763
AtbZIP62,bZIP transcription factor 62,-,1,AT1G19490,-,838535,-,"Rolly, Nkulu Kabange et al. 2020",Drought-induced AtbZIP62 transcription factor regulates drought stress response in Arabidopsis,"AtbZIP62 could be involved in AtPYD1 transcriptional regulation while modulating cellular redox state and photosynthetic processes. In addition, AtbZIP62 is suggested to positively regulate drought stress response in Arabidopsis. Both atbzip62 and atpyd1-2 mutants showed high sensitivity towards drought stress suggesting positive regulation by AtbZIP62.",33007532
AtGBF3,G-box binding factor 3,-,2,AT2G46270,-,819235,-,"Ramegowda, Venkategowda et al. 2017",GBF3 transcription factor imparts drought tolerance in Arabidopsis thaliana.,"Overexpression of AtGBF3 in A. thaliana resulted in improved tolerance to osmotic stress, salinity and drought stress in addition to conferring insensitivity to ABA.",28831141
ATSIZ1,DNA-binding protein with MIZ/SP-RING zinc finger,PHD-finger and SAP domain-containing protein,5,AT5G60410,-,836163,-,"Catala, Rafael et al. 2007",The Arabidopsis E3 SUMO ligase SIZ1 regulates plant growth and drought responses.,SIZ1 Is a Positive Regulator of Drought Stress Tolerance. SIZ1 Regulates Both Basal and Drought-Inducible Gene Expression.,17905899
AtUGT76C2,UDP-glucosyl transferase 76C2,-,5,AT5G05860,-,830471,-,"Li, Yan-jie et al. 2015","AtUGT76C2, an Arabidopsis cytokinin glycosyltransferase is involved in drought stress adaptation.",UGT76C2 overexpression enhances drought stress tolerance during adult stage. UGT76C2 is involved in affecting the stomata movement under drought stress and ABA treatment,26025529
AtMAX2,More Axillary Branches 2,"ORE9, PPS",2,AT2G42620,-,818862,-,"Bu, Qingyun et al. 2014",Regulation of drought tolerance by the F-box protein MAX2 in Arabidopsis.,max2 mutant is hypersensitive to drought stress compared with the wild type,24198318
AtAPA1,aspartic proteinase A1,AtPaspA1,1,AT1G11910,-,837740,-,"Sebastián, D'Ippólito et al. 2020",Overexpression of Arabidopsis aspartic protease APA1 gene confers drought tolerance.,"Overexpressing APA1 Arabidopsis plants (OE-APA1), showed a phenotype more tolerant to drought compared with WT.",32005402
AtRGGA ,Arginine Glycine Glycine (RGG) box-containing RNA-binding protein,Hyaluronan/mRNA-binding domain-containing protein,4,AT4G16830,-,827389,-,"Ambrosone, Alfredo et al. 2015",The Arabidopsis RNA-binding protein AtRGGA regulates tolerance to salt and drought stress.,"When drought or salt stress was imposed, the rgga mutant appeared more sensitive than the wild type, with a more obvious bleaching of leaves. In contrast, overexpressing plants showed less wilting and bleaching symptoms in the presence of salt and drought stress compared with Col-0.",25783413
ASPG1,ASPARTIC PROTEASE IN GUARD CELL 1,-,3,AT3G18490,-,821379,-,"Yao, Xuan et al. 2012",Overexpression of the aspartic protease ASPG1 gene confers drought avoidance in Arabidopsis.,Overexpression of the ASPG1 gene enhanced ABA sensitivity in guard cells and reduced water loss in ectopically overexpressing ASPG1 (ASPG1-OE) transgenic plants. ASPG1 confers drought avoidance through the ABA signal transduction pathway.,22268147
AT14A,"transmembrane protein, putative (DUF677)",-,3,AT3G28300,-,822457,-,"Xin, Hongliang et al. 2023",The Arabidopsis thaliana integrin-like gene AT14A improves drought tolerance in Solanum lycopersicum.,AT14A regulates expression of Protein phosphatase 2 C 51 (PP2C 51) and ABSCISIC ACID-INSENSITIVE 5 (ABI5) to participate in ABA pathways to enhance drought tolerance. AT14A enhanced drought tolerance by regulating waxy cuticle synthesis genes. AT14A improves drought tolerance of transgenic tomato.,37133572
AtHDA9,histone deacetylase 9,-,3,AT3G44680,-,823594,-,"Zheng, Yu et al. 2016",Histone deacetylase HDA9 negatively regulates salt and drought stress responsiveness in Arabidopsis.,HDA9 might be a novel chromatin protein that negatively regulates plant sensitivity to salt and drought stresses by regulating histone acetylation levels of a large number of stress-responsive genes in Arabidopsis.,26733691
AtSWEET17,SUGAR WILL EVENTUALLY BE EXPORTED TRANSPORTER 17,Nodulin MtN3 family protein,4,AT4G15920,-,827274,-,"Valifard, Marzieh et al. 2021",Vacuolar fructose transporter SWEET17 is critical for root development and drought tolerance.,"sweet17 knock-out mutants exhibited reduced lateral root (LR) growth and a diminished expression of LR-development-related transcription factors during drought stress, resulting in impaired drought tolerance of sweet17 mutants. SWEET17 loss-of-function mutants exhibit decreased tolerance against drought stress and increased drought-dependent fructose accumulation.",34597404
AtWRKY53,WRKY DNA-binding protein 53,-,4,AT4G23810,-,828481,-,"Sun, Yiding, and Diqiu Yu. 2015",Activated expression of AtWRKY53 negatively regulates drought tolerance by mediating stomatal movement., AtWRKY53 overexpression lines were hypersensitive to drought stress compared with Col-0 plants. WRKY53 regulated stomatal movement via reducing the H2O2 content and promoting the starch metabolism in guard cells.,25861729
AtMYB96,MYB transcription factor 96,-,5,AT5G62470,-,836367,-,"Seo, Pil Joon et al. 2011",The MYB96 transcription factor regulates cuticular wax biosynthesis under drought conditions in Arabidopsis.,MYB96 transcription factor confers drought resistance by modulating cuticular wax biosynthesis.,21398568
AtSAUR32 ,SMALL AUXIN UP-REGULATED RNA,-,2,AT2G46690,-,819281,-,"He, Yanjun et al. 2021",The Arabidopsis SMALL AUXIN UP RNA32 Protein Regulates ABA-Mediated Responses to Drought Stress.,AtSAUR32 has the potential to diminish the negative impact of drought stress. AtSAUR32 overexpression enhanced drought tolerance in Arabidopsis while AtSAUR32 knockout plants displayed contrasting results.,33777065
YUCCA6,YUC protein,"AtYUC6, Flavin-binding monooxygenase family protein",5,AT5G25620,-,832638,-,"Cha, Joon-Yung et al. 2015",A novel thiol-reductase activity of Arabidopsis YUC6 confers drought tolerance independently of auxin biosynthesis.,"Arabidopsis plants overexpressing YUC6 display enhanced IAA-related phenotypes and exhibit improved drought stress tolerance, low rate of water loss and controlled ROS accumulation under drought and oxidative stresses. ",26314500
AtBIL9,BRZ INSENSITIVE LONG HYPOCOTYL 9 ,hydroxyproline-rich glycoprotein family protein,4,AT4G25620,-,828667,-,"Surina, Surina et al. 2024",BIL9 Promotes Both Plant Growth via BR Signaling and Drought Stress Resistance by Binding with the Transcription Factor HDG11.,"Overexpression of BIL9 enhances drought and mannitol stress resistance and increases the expression of drought-responsive genes. BIL9 protein is induced by dehydration and interacts with the HD-Zip IV transcription factor HOMEODOMAIN GLABROUS 11 (HDG11), which is known to promote plant resistance to drought stress, in vitro and in vivo.",38242155
AtGolS2,galactinol synthase 2 ,-,1,AT1G56600,-,842114,-,"Himuro, Yasuyo et al. 2014",Arabidopsis galactinol synthase AtGolS2 improves drought tolerance in the monocot model Brachypodium distachyon.,"AtGolS2-expressing transgenics displayed significantly improved drought tolerance, increasing with increased expression of AtGolS2. ",24973584
AtGTL1,GT-2 LIKE 1,-,1,AT1G33240,-,840218,-,"Yoo, Chan Yul et al. 2010",The Arabidopsis GTL1 transcription factor regulates water use efficiency and drought tolerance by modulating stomatal density via transrepression of SDD1.,AtGTL1 negatively regulates water use efficiency by modulating stomatal density; the mutation of the encoding gene increases the plant tolerance to drought stress,21169508
AtSMAX1,SUPPRESSOR of MORE AXILLARY GROWTH 2 1,-,5,AT5G57710,-,835878,-,"Feng, Zhonghui et al. 2023",SUPPRESSOR of MAX2 1 (SMAX1) and SMAX1-LIKE2 (SMXL2) Negatively Regulate Drought Resistance in Arabidopsis thaliana.,"SMAX1 and SMXL2 negatively regulate drought resistance, and disruption of these KAR- and SL-signaling-related genes may therefore provide a novel means for improving crop drought resistance.",35681253
AtSMXL2,SMAX1-LIKE2,,4,AT4G30350,-,829158,-,"Feng, Zhonghui et al. 2023",SUPPRESSOR of MAX2 1 (SMAX1) and SMAX1-LIKE2 (SMXL2) Negatively Regulate Drought Resistance in Arabidopsis thaliana.,"SMAX1 and SMXL2 negatively regulate drought resistance, and disruption of these KAR- and SL-signaling-related genes may therefore provide a novel means for improving crop drought resistance.",35681253
KAT2,3-ketoacyl-CoA thiloase-2,,2,AT2G33150,-,-,-,"Jiang et al., 2011","Arabidopsis 3-ketoacyl-CoA thiolase-2 (KAT2), an enzyme of fatty acid Î²-oxidation, is involved in ABA signal transduction","kat2-3 mutant: ABA-insensitive phenotypes, KAT2-overexpressing transgenic lines: strong ABA-hypersensitive phenotypes (ABA-induced stomatal closure and  inhibition of stomatal opening",21257607
ABCG40,"ABC-transporter, ABA import",,1,AT1G15520,-,-,-,"Kang et al., 2010",PDR-type ABC transporter mediates cellular uptake of the phytohormone abscisic acid,"knockout: upregulation of ABA responsive genes is delayed, stomata close more slowly",20133880
ABCG25,"ABC-transporter, ABA export from cells",,1,AT1G71960,-,-,-,"Kuromori et al., 2010",ABC transporter AtABCG25 is involved in abscisic acid transport and responses,overexpressor: higher leaf temperature,20133881
MRP4,"multidrug resistance-associated protein, ABC transporter",,2,AT2G47800,-,-,-,"Klein et al., 2004","Disruption of AtMRP4, a guard cell plasma membrane ABCC-type ABC transporter, leads to deregulation of stomatal opening and increased drought susceptibility","knockout: increased stomatal aperture, increased water loss",15225287
ATHB6,"homeodomain protein, target of ABI1",,2,AT2G22430,-,-,-,"Himmelbach et al., 2002",Homeodomain protein ATHB6 is a target of the protein phosphatase ABI1 and regulates hormone responses in Arabidopsis,overexpression: ABA insensitivity; water loss in leaves from overexpressing lines increased,12065416
CBP20,Cap Binding Protein 20 (mRNA cap),,5,AT5G44200,-,-,-,"Kim et al., 2008",Two cap-binding proteins CBP20 and CBP80 are involved in processing primary MicroRNAs,loss-of-function: hypersensitivity to ABA; enhanced drought tolerance,18829588
OST1/SRK2E,"Kinase-like (open stomata 1), activated by ABA, activates SLAC1",,4,AT4G33950,-,-,-,"Mustilli et al., 2002",Arabidopsis OST1 protein kinase mediates the regulation of stomatal aperture by abscisic acid and acts upstream of reactive oxygen species production,ABA-induced stomatal closure is impaired in ost1,12468729
ABI1,PP2C,,4,AT4G26080,-,-,-,"Meyer et al., 1994",A protein phosphatase 2C involved in ABA signal transduction in Arabidopsis thaliana,ABA insensitive mutant: wilting and witherung under water stress condition,8197457
ABI2,PP2C,,5,AT5G57050,-,-,-,"Rodriguez et al., 1998","ABI2, a second protein phosphatase 2C involved in abscisic acid signal transduction in Arabidopsis",ABA insensitive,9468303
NCED,ABA biosynthesis key enzyme,,3,AT3G14440,-,-,-,"Iuchi et al., 2001","Regulation of drought tolerance by gene manipulation of 9-cis-epoxycarotenoid dioxygenase, a key enzyme in abscisic acid biosynthesis in Arabidopsis.",overexpressor: improved drought tolerance; antisense: drought-sensitive phenotype,11532178
AAO3,"Arabidopsis aldehyde oxidase, catalyzes final step in ABA biosynthesis",,2,AT2G27150,-,-,-,"Seo et al., 2000",The Arabidopsis aldehyde oxidase 3 (AAO3) gene product catalyzes the final step in abscisic acid biosynthesis in leaves,mutant: wilty phenotype,11050171
CYP707A1,ABA catabolism; 8'-hydroxylation of ABA,,4,AT4G19230,-,-,-,"Okamoto et al., 2009",High humidity induces abscisic acid 8'-hydroxylase in stomata and vasculature to regulate local and systemic abscisic acid responses in Arabidopsis,"transcript increases in response to salt, osmotic, dehydration stress and ABA; stomatal closure of the cyp707a1 mutant was ABA hypersensitive when epidermal peel was treated with exogenous ABA",19036833
AtBG1,"beta-glucosidase; hydrolyzes glucose-conjugated, inactive ABA to active ABA",,1,AT1G52400,-,-,-,"Lee et al., 2006",Activation of glucosidase via stress-induced polymerization rapidly increases active pools of abscisic acid,overexpression: drought tolerance,16990135
GTG1,"PM-ABA receptor, GPCR-type G protein",,1,AT1G64990,-,-,-,"Pandey et al., 2009",Two novel GPCR-type G proteins are abscisic acid receptors in Arabidopsis, ABA induction of stomatal closure the gtg1 gtg2 mutant plants is ABA hyposensitive,19135895
GTG2,"PM-ABA receptor, GPCR-type G protein",,4,AT4G27630,-,-,-,"Pandey et al., 2009",Two novel GPCR-type G proteins are abscisic acid receptors in Arabidopsis, ABA induction of stomatal closure the gtg1 gtg2 mutant plants is ABA hyposensitive,19135895
CYP707A3,ABA catabolism; 8'-hydroxylation of ABA,,5,AT5G45340,-,-,-,"Okamoto et al., 2009",High humidity induces abscisic acid 8'-hydroxylase in stomata and vasculature to regulate local and systemic abscisic acid responses in Arabidopsis,cyp707a3 mutant exhibited high ABA levels even after transferring to high-humidity conditions,19036833
OST2,plasma membrane proton ATPase,,2,AT2G18960,-,-,-,"Merlot et al., 2007",Constitutive activation of a plasma membrane H(+)-ATPase prevents abscisic acid-mediated stomatal closure,mutant: reduced ability to close stomata in response to drought; downregulated during drought,17557075
LHCB6,light harvesting chlorophyll a/b binding protein,,1,AT1G15820,-,-,-,"Xu et al., 2011",Light-harvesting chlorophyll a/b-binding proteins are required for stomatal response to abscisic acid in Arabidopsis,"mutant: reduced resposiveness to ABA-dependent stomatal movement, decreased drought tolerance; overexpression: stomatal sensitivity to ABA is enhanced",22143917
OSM1/SYP61,"osmotic stess-sensitive; related to mammalian syntaxin, SNARE family protein",,1,AT1G28490,-,-,-,"Zhu et al., 2002",OSM1/SYP61: a syntaxin protein in Arabidopsis controls abscisic acid-mediated and non-abscisic acid-mediated responses to abiotic stress,mutant: more prone to wilting; insensitive to ABA-induced stomata closing,12468724
ABO1/ELO1,"subunit of Elongator, a multifunctional complex with roles in transcription elongation, secretion and tRNA modification",,5,AT5G13680,-,-,-,"Chen et al., 2006","Mutations in ABO1/ELO2, a subunit of holo-Elongator, increase abscisic acid sensitivity and drought tolerance in Arabidopsis thaliana","abo1 = ABA overly sensitive, drought resistant phenotype, ABA-induced stomatal closing is enhanced",16943431
HYL1,hyponastic leaves 1; RNA binding protein that affects ABA and drought sensitivity,,1,AT1G09700,-,-,-,"Lu and Fedoroff, 2000","A mutation in the Arabidopsis HYL1 gene encoding a dsRNA binding protein affects responses to abscisic acid, auxin, and cytokinin",hyl1: ABA sensitivity altered,11148283
SAD1,"supersensitive to ABA and drought 1; put RNA binding protein, RNA processing and / or degradation",,5,AT5G48870,-,-,-,"Verslues et al., 2006","Mutation of SAD2, an importin beta-domain protein in Arabidopsis, alters abscisic acid sensitivity",sad1: ABA and drought oversensitivity; disturbed ABA biosynthesis,16889648
DOR,"drought tolerance repressor, F-box protein",,2,AT2G31470,-,-,-,"Zhang et al., 2008",F-box protein DOR functions as a novel inhibitory factor for abscisic acid-induced stomatal closure under drought stress in Arabidopsis,"preferentially expressed guard cells, suppressed by ABA treatment, ko: hypersensitive to ABA, drought tolerance",18835996
LOS5,molybdenum-cofactor sulfurase,,1,AT1G16540,-,-,-,"Xiong et al., 2001",The Arabidopsis LOS5/ABA3 locus encodes a molybdenum cofactor sulfurase and modulates cold stress- and osmotic stress-responsive gene expression,"knockout: drought susceptible, ABA deficient, increased water loss",11549764
GPA1,alpha subunit of heterotrimeric GTP-binding protein,,2,AT2G26300,-,-,-,"Pandey et al., 2009",Two novel GPCR-type G proteins are abscisic acid receptors in Arabidopsis,null mutant: ABA hypersensitivity; gpa1 stomata are hyposensitive to ABA in ABA inhibition of stomatal opening,19135895
ABH1/CBP80,subunit of mRNA cap-binding complex,,2,AT2G13540,-,-,-,"Hugouvieux et al., 2001","An mRNA cap binding protein, ABH1, modulates early abscisic acid signal transduction in Arabidopsis",mutant: stomatal aperture decreased,11525733
GCR1,putative G protein-coupled receptor,,1,AT1G48270,-,-,-,"Pandey and Assmann, 2004",The Arabidopsis putative G protein-coupled receptor GCR1 interacts with the G protein alpha subunit GPA1 and regulates abscisic acid signaling,mutant: hypersensitivity to ABA and drought tolerant,15155892
PEPCK,PEP carboxykinase,,4,AT4G37870,-,-,-,"Penfield et al., 2012",Expression and manipulation of phosphoenolpyruvate carboxykinase 1 identifies a role for malate metabolism in stomatal closure,isoform that is specifically expressed in GCs; knockout: reduced drought tolerance,22007864
AtrbohD,NADPH oxidase catalytical subunit,,5,AT5G47910,-,-,-,"Kwak  et al., 2003",NADPH oxidase AtrbohD and AtrbohF genes function in ROS-dependent ABA signaling in Arabidopsis,atrbohD/F double mutant: ABA induced stomatal closing is impaired,12773379
AtrbohF,NADPH oxidase catalytical subunit,,1,AT1G64060,-,-,-,"Kwak  et al., 2003",NADPH oxidase AtrbohD and AtrbohF genes function in ROS-dependent ABA signaling in Arabidopsis,atrbohD/F double mutant: ABA induced stomatal closing is impaired,12773379
GORK,outward K+ channel,,5,AT5G37500,-,-,-,"Hosy et al., 2003",The Arabidopsis outward K+ channel GORK is involved in regulation of stomatal movements and plant transpiration,disruption of GORK: stomatal closure is impaired; expression induced upon drought and ABA,12671068
KAT2,"K+ channel, inward rectifying",,4,AT4G18290,-,-,-,"Lebaudy et al., 2008",Plant adaptation to fluctuating environment and biomass production are strongly dependent on guard cell potassium channels.,plants expressing a dominant negative (domneg) kat2 construct in the kat2-1 knockout background display decreased transpirational water loss during the light period when compared with WT plants,18367672
SLAH3,guard cell S-type anion channel (SLAC1 homolog),,5,AT5G24030,-,-,-,"Geiger et al., 2011",Stomatal closure by fast abscisic acid signaling is mediated by the guard cell anion channel SLAH3 and the receptor RCAR1,S-type anion channels are direct targets of ABA signaling and lead to release of chloride and nitrate--> stomatal closure,21586729
SLAC1,slow anion channel 1,,1,AT1G12480,-,-,-,"Vahisalu et al., 2008",SLAC1 is required for plant guard cell S-type anion channel function in stomatal signalling,"slac1: higher stomatal conductance than wild type, increased water loss",18305484
CLCc,chloride channel,,5,AT5G49890,-,-,-,"Jossier et al., 2010","The Arabidopsis vacuolar anion transporter, AtCLCc, is involved in the regulation of stomatal movements and contributes to salt tolerance.","expressed guard cells, root an pollen; tonoplast; mutant: ABA dependent stomata closure impaired",20822503
PIP1;4,PIP,,4,AT4G00430,-,-,-,"Jang et al., 2007",Transgenic Arabidopsis and tobacco plants overexpressing an aquaporin respond differently to various abiotic stresses,overexpression: rapid water loss under dehydration stress,17522953
PIP2;5,PIP,,3,AT3G54820,-,-,-,"Jang et al., 2007",Transgenic Arabidopsis and tobacco plants overexpressing an aquaporin respond differently to various abiotic stresses,overexpression: rapid water loss under dehydration stress,17522953
HAB1,PP2C,,1,AT1G72770,-,-,-,"Robert et al., 2006",A hypermorphic mutation in the protein phosphatase 2C HAB1 strongly affects ABA signaling in Arabidopsis,mutant: ABA hypersensitive; hab1G246D mutant is unable to close their stomata to limit water loss in response to ABA synthesized during a drought stress,16876791
RGS1,regulator of G-protein signaling,,3,AT3G26090,-,-,-,"Chen et al., 2006",Overexpression of the regulator of G-protein signalling protein enhances ABA-mediated inhibition of root elongation and drought tolerance in Arabidopsis,overexpression: increased drought tolerance,16714312
AnnAt1,Annexin1,,1,AT1G35720,-,-,-,"Konopka-Postupolska et al., 2009",The role of annexin 1 in drought stress in Arabidopsis,upregulated upon abiotic stress; overexpression: more tolerant to drought,19482919
GolS1,"Galactinol Synthase, catalyzes the first step in the biosynthesis of Raffinose Family Oligosaccharides (RFOs) from UDP-galactose",,2,AT2G47180,-,-,-,"Taji et al., 2002",Important roles of drought- and cold-inducible genes for galactinol synthase in stress tolerance in Arabidopsis thaliana,expression induced by drought and high-salinity stress,11846875
GolS2,"Galactinol Synthase, catalyzes the first step in the biosynthesis of Raffinose Family Oligosaccharides (RFOs) from UDP-galactose",,1,AT1G56600,-,-,-,"Taji et al., 2002",Important roles of drought- and cold-inducible genes for galactinol synthase in stress tolerance in Arabidopsis thaliana,"Overexpression of AtGolS2 in transgenic Arabidopsis caused an increase in endogenous galactinol and raffinose, and showed reduced transpiration from leaves to improve drought tolerance",11846875
P5CS1,Pyrroline-5-Carboxylate Synthase; glutamtate --> proline,,2,AT2G39800,-,-,-,"Szekely et al., 2008",Duplicated P5CS genes of Arabidopsis play distinct roles in stress regulation and developmental control of proline biosynthesis,expression induced upon ABA; P5CS1 also plays a key role in drought-induced accumulation of proline,17971042
TPS1,trehalose-6-phosphate synthase,,1,AT1G78580,-,-,-,"Almeida et al., 2006",Responses to water withdrawal of tobacco plants genetically engineered with the AtTPS1 gene: a special reference to photosynthetic parameters,expression in tobacco: increased drought tolerance,-
APX2,"Ascorbate peroxidase 2, H2O2 scavenger",,1,AT1G07890,-,-,-,"Rossel et al., 2005",A mutation affecting ASCORBATE PEROXIDASE 2 gene expression reveals a link between responses to high light and drought tolerance,overexpressor (=alx8 = gain-of function): drought tolerant,17080642
GSTU17,glutathion s-transferase U17,,1,AT1G10370,-,-,-,"Chen et al., 2012",Drought and salt stress tolerance of an Arabidopsis glutathione S-transferase U17 knockout mutant are attributed to the combined effect of glutathione and abscisic acid,knockout: higher GSH and ABA; plants are more tolerant to drought,22095046
GPX3,glutathione peroxidase3,,2,AT2G43350,-,-,-,"Miao et al., 2006",An Arabidopsis glutathione peroxidase functions as both a redox transducer and a scavenger in abscisic acid and drought stress responses,mutant: higher water loss under drought; overexpressor: less sensitive to drought,16998070
ERD1,chloroplast-targeted Clp protease reg SU,,5,AT5G51070,-,-,-,"Tran et al., 2007",Co-expression of the stress-inducible zinc finger homeodomain ZFHD1 and NAC transcription factors enhances expression of the ERD1 gene in Arabidopsis,induction of ERD1 requires over-expression of both ZFHD1 and NAC; significantly improved drought tolerance,17233795
FAD8,fatty acid desaturase,,5,AT5G05580,-,-,-,"Zhang et al., 2005",Modulated fatty acid desaturation via overexpression of two distinct Ï‰-3 desaturases differentially alters tolerance to various abiotic stresses in transgenic tobacco cells and plants,overexpression in tobacco: increased drought tolerance,16236147
SQE1,squalene epoxidase1,,1,AT1G58440,-,-,-,"Pose et al., 2009",Identification of the Arabidopsis dry2/sqe1-5 mutant reveals a central role for sterols in drought tolerance and regulation of reactive oxygen species,knockout: hypersensitive to drought; altered production of ROS,19309460
ABCG22,ABC-transporter,,5,AT5G06530,-,-,-,"Kuromori et al., 2011","Arabidopsis mutants of AtABCG22, an ABC transporter gene, increase water transpiration and drought susceptibility",knockout: more susceptible to drought stress,21575091
CBF4,DREB family TF,,5,AT5G51990,-,-,-,"Haake et al., 2002",Transcription factor CBF4 is a regulator of drought adaptation in Arabidopsis,"up-regulated by drought stress, overexpressors are more tolerant to freezing and drought stress",12376631
DREB1A/CBF3,DREB family TF,,4,AT4G25480,-,-,-,"Kasuga et al., 2004",A combination of the Arabidopsis DREB1A gene and stress-inducible rd29A promoter improved drought- and low-temperature stress tolerance in tobacco by gene transfer,overexpression in tobacco: improved drought stress tolerance,15047884
DREB2A,transcription factor (dehydration responsive element binding),,5,AT5G05410,-,-,-,"Liu et al, 1998","Two transcription factors, DREB1 and DREB2, with an EREBP/AP2 DNA binding domain separate two cellular signal transduction pathways in drought- and low-temperature-responsive gene expression, respectively, in Arabidopsis",expression induced by dehydration,9707537
