	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
Arabidopsis_thaliana	0.0	19272.0	19505.0	18582.0	18066.0	19599.0	19916.0	19397.0	19058.0
Avena_sativa	56437.0	0.0	76576.0	70535.0	65617.0	72240.0	82639.0	75526.0	63113.0
Brachypodium_distachyon	19658.0	25170.0	0.0	22715.0	21927.0	24776.0	25781.0	24191.0	21561.0
Hordeum_vulgare	20196.0	27691.0	26997.0	0.0	22351.0	24853.0	31067.0	28280.0	22169.0
Oryza_sativa	17172.0	21135.0	21382.0	19409.0	0.0	22337.0	21910.0	20815.0	19976.0
Sorghum_bicolor	19764.0	23533.0	24016.0	22011.0	22401.0	0.0	24369.0	23296.0	23856.0
Triticum_aestivum	59166.0	81487.0	77209.0	75730.0	68097.0	76203.0	0.0	83389.0	66158.0
Triticum_turgidum	38043.0	52133.0	48518.0	48288.0	42861.0	48220.0	62280.0	0.0	42149.0
Zea_mays	24804.0	28435.0	28795.0	26623.0	26378.0	30857.0	28961.0	27823.0	0.0
