	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
Arabidopsis_thaliana	12788	11341	11550	10852	10438	11555	11573	11334	11321
Avena_sativa	11341	17666	15072	14403	13328	14676	15823	15240	13963
Brachypodium_distachyon	11550	15072	16326	14336	13509	14989	15501	14959	14255
Hordeum_vulgare	10852	14403	14336	15703	12687	14038	15298	14810	13420
Oryza_sativa	10438	13328	13509	12687	15474	13615	13765	13339	13115
Sorghum_bicolor	11555	14676	14989	14038	13615	16530	15078	14625	14899
Triticum_aestivum	11573	15823	15501	15298	13765	15078	20570	18885	14381
Triticum_turgidum	11334	15240	14959	14810	13339	14625	18885	19644	14016
Zea_mays	11321	13963	14255	13420	13115	14899	14381	14016	16197
