	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
Arabidopsis_thaliana	0.0	283.0	5044.0	4907.0	5272.0	4948.0	394.0	964.0	3491.0
Avena_sativa	29959.0	0.0	62067.0	54232.0	50946.0	55723.0	7307.0	13651.0	38632.0
Brachypodium_distachyon	5269.0	934.0	0.0	3167.0	4898.0	4847.0	811.0	1258.0	3269.0
Hordeum_vulgare	5322.0	1371.0	6353.0	0.0	6036.0	6116.0	1573.0	2102.0	4599.0
Oryza_sativa	4172.0	562.0	4125.0	3383.0	0.0	4547.0	722.0	1063.0	3297.0
Sorghum_bicolor	5149.0	388.0	4518.0	3880.0	4881.0	0.0	520.0	1002.0	3854.0
Triticum_aestivum	30615.0	6434.0	62520.0	64986.0	53085.0	58407.0	0.0	42190.0	40458.0
Triticum_turgidum	19269.0	3862.0	37457.0	38348.0	31772.0	35134.0	6069.0	0.0	24452.0
Zea_mays	9152.0	686.0	14237.0	12625.0	12974.0	14601.0	1045.0	2256.0	0.0
