	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
Arabidopsis_thaliana	0.0	11577.0	7044.0	6583.0	6288.0	7303.0	11920.0	11019.0	8389.0
Avena_sativa	26027.0	0.0	12969.0	14200.0	13800.0	15640.0	71903.0	58777.0	23720.0
Brachypodium_distachyon	6933.0	5484.0	0.0	2125.0	2493.0	3206.0	5437.0	4661.0	2677.0
Hordeum_vulgare	7553.0	8115.0	3935.0	0.0	3276.0	3661.0	4982.0	3777.0	3452.0
Oryza_sativa	6018.0	6061.0	2483.0	2329.0	0.0	2697.0	6169.0	5355.0	2534.0
Sorghum_bicolor	7306.0	6829.0	2787.0	2668.0	2662.0	0.0	7057.0	6208.0	1555.0
Triticum_aestivum	27948.0	71331.0	12708.0	6160.0	13978.0	16793.0	0.0	2609.0	24830.0
Triticum_turgidum	17408.0	42551.0	7410.0	3622.0	8431.0	10274.0	2157.0	0.0	15171.0
Zea_mays	10192.0	16533.0	3101.0	3302.0	2964.0	1961.0	16338.0	14444.0	0.0
